Country,Year,CPI_General,CPI_Food
Croatia,2020,110,115.1
Curaçao,2020,118.1,151.9
Cyprus,2020,101.9,105.4
Czechia,2020,120.2,134.4
Denmark,2020,110.8,114.6
Djibouti,2020,122.4,
Dominica,2020,104.7,
Dominican Republic,2020,140.6,158.9
Ecuador,2020,123.7,127.9
Egypt,2020,303.2,100.4
El Salvador,2020,110.8,
Equatorial Guinea,2020,130.3,
Estonia,2020,121.6,135.3
Ethiopia,2020,383.9,435.4
Fiji,2020,128.9,140.1
Finland,2020,112.7,118.9
France,2020,110.6,114.5
French Guiana,2020,108.4,115.8
Gabon,2020,124.1,
Gambia,2020,183,
Georgia,2020,140.6,
Germany,2020,105.8,109.7
Ghana,2020,306,119.4
Greece,2020,100.7,106.6
Grenada,2020,107.3,
Guadeloupe,2020,110,118.9
Guam,2020,122.6,133.1
Guatemala,2020,147.5,216.4
Guinea,2020,290.8,
Guyana,2020,117.3,
Haiti,2020,150.9,
Honduras,2020,155.6,
Hong Kong,2020,135,151.3
Hungary,2020,125.7,142
Iceland,2020,132.7,132
India,2020,190.5,156.8
Indonesia,2020,154.1,106.4
Iran,2020,229,268.8
Iraq,2020,120.3,
Ireland,2020,106.2,91.2
Israel,2020,107.5,111.4
Italy,2020,110.4,114.9
Jamaica,2020,171,110.1
Japan,2020,105.5,112.7
Jordan,2020,101.1,102.6
Kazakhstan,2020,201.2,
Kenya,2020,200.2,
Korea,2020,115.8,131.3
Kuwait,2020,129.3,114.1
Kyrgyzstan,2020,165.5,150.4
Lao,2020,142.8,
Latvia,2020,117.1,125.2
Lebanon,2020,240.4,
Lesotho,2020,163.6,
Lithuania,2020,119.8,126.8
Luxembourg,2020,116,122.8
Madagascar,2020,129.8,131.8
Malawi,2020,454.4,
Malaysia,2020,120.1,134.8
Maldives,2020,134.7,
Mali,2020,109.2,
Malta,2020,114.2,
Mauritania,2020,113.1,117.2
Mauritius,2020,133.3,143.3
Mexico,2020,146.4,168.6
Moldova,2020,172.6,194.4
Mongolia,2020,124.9,130
Montenegro,2020,116.4,121.4
Montserrat,2020,107.1,
Morocco,2020,102.5,101.6
Mozambique,2020,188,221.1
Namibia,2020,161.5,184.6
Nepal,2020,134.9,132.6
Netherlands,2020,117.4,119
New Caledonia,2020,109.6,114
New Zealand,2020,116.2,112.3
Nicaragua,2020,168.7,169.7
Nigeria,2020,302.9,333.8
North Macedonia,2020,114.8,115.6
Norway,2020,121.8,119
Oman,2020,112.5,
Pakistan,2020,200.1,138.9
Palau,2020,121.4,
Panama,2020,120.2,
Papua New Guinea,2020,163.5,
Paraguay,2020,146.4,149.8
Peru,2020,132.9,138
Philippines,2020,123.3,129.6
Poland,2020,117.6,129.7
Portugal,2020,110.6,112.7
Qatar,2020,96.6,100.3
Réunion,2020,107.6,117.5
Romania,2020,127,113.7
Russian Federation,2020,186.8,196.8
Rwanda,2020,151.4,179.1
Saint Kitts and Nevis,2020,103,100.4
Saint Lucia,2020,108.8,102.5
Saint Vincent & Grenadines,2020,110,
Samoa,2020,115.7,
San Marino,2020,112.7,142.6
Saudi Arabia,2020,101.3,111.3
Senegal,2020,112,
Serbia,2020,146.3,146.9
Seychelles,2020,131.5,121.1
Sierra Leone,2020,265.6,269.9
Singapore,2020,114.2,122.6
Slovakia,2020,117.6,126.7
Slovenia,2020,111,126.1
Solomon Islands,2020,137,
South Africa,2020,163.9,181.7
South Sudan,2020,20422.9,
Spain,2020,110.6,116.8
Sri Lanka,2020,137.6,143.1
State of Palestine,2020,111.8,105.6
Sudan,2020,3538.7,
Suriname,2020,397.7,436
Sweden,2020,111.1,119.7
Switzerland,2020,98.8,99.3
Tajikistan,2020,194.1,214.6
Tanzania,2020,193.6,
Thailand,2020,112.3,130
Togo,2020,115.4,
Trinidad and Tobago,2020,144,
Tunisia,2020,167.7,130.2
Turkiye,2020,263.2,301
Uganda,2020,110.6,106.9
Ukraine,2020,289.6,252.8
United Arab Emirates,2020,112.1,
United Kingdom,2020,121.6,114.1
United States,2020,118.7,115.9
Uruguay,2020,222.7,240.6
Uzbekistan,2020,173,194.1
Vanuatu,2020,123.4,146.9
Venezuela,2020,93584.2,145.4
Vietnam,2020,168.8,
Zambia,2020,245.7,
Zimbabwe,2020,2725.3,
Aland Islands Islands,2021,114.7,119.8
Albania,2021,123.5,144.9
Algeria,2021,166.2,161.7
Andorra,2021,108.1,120.6
Anguilla,2021,108.5,120.4
Antigua and Barbuda,2021,118.6,
Argentina,2021,490.6,517
Armenia,2021,140.1,
Aruba,2021,108.6,134.5
Australia,2021,124.3,117.9
Austria,2021,123.1,124.8
Azerbaijan,2021,172,188.5
Bahrain,2021,115.3,126.6
Bangladesh,2021,200.4,322.1
Barbados,2021,203.6,277.1
Belarus,2021,586.9,573.5
Belgium,2021,120.9,120.6
Belize,2021,109.7,110
Benin,2021,116,
Bhutan,2021,113.6,121.6
Bolivia,2021,150.8,168.4
Bosnia and Herzegovina,2021,105.9,
Botswana,2021,162.8,149.5
Brazil,2021,187.1,227.2
Brunei Darussalam,2021,102.7,
Bulgaria,2021,120.2,135.8
Burkina Faso,2021,114.4,
Burundi,2021,211.9,
Cabo Verde,2021,113.2,112.5
Cambodia,2021,137.9,
Cameroon,2021,124.3,
Canada,2021,121.6,128
Central African Republic,2021,161,
Chad,2021,122,102.7
Chile,2021,142.1,173.1
China,2021,112.6,
"China, Macao SAR",2021,145.2,160.8
Colombia,2021,149.6,169.4
"Congo, Rep.",2021,129.2,
Costa Rica,2021,132,129.6
Cote d’Ivoire,2021,119,
Croatia,2021,112.8,117
Curaçao,2021,122.5,
Cyprus,2021,104.3,105
Czechia,2021,124.8,135.5
Denmark,2021,112.9,115.2
Dominica,2021,105.2,
Dominican Republic,2021,152.2,174.6
Ecuador,2021,123.9,126.8
Egypt,2021,319,105
El Salvador,2021,114.7,
Estonia,2021,127.3,137.8
Ethiopia,2021,486.9,573.8
Fiji,2021,129.1,149.2
Finland,2021,115.1,119.5
France,2021,112.4,115.2
Gambia,2021,196.5,
Georgia,2021,154,
Germany,2021,109.1,113.1
Ghana,2021,336.5,131.6
Greece,2021,101.9,108
Grenada,2021,108.6,
Guam,2021,127.3,140.4
Guatemala,2021,153.8,226.8
Guinea,2021,327.5,
Guyana,2021,123.3,
Haiti,2021,176.3,
Honduras,2021,162.5,
Hong Kong,2021,137.1,153.8
Hungary,2021,132.1,147.7
Iceland,2021,138.6,136.7
India,2021,199.8,162.5
Indonesia,2021,156.5,109.4
Iran,2021,328.3,425.6
Iraq,2021,127.6,
Ireland,2021,108.7,90.9
Israel,2021,109.1,112.8
Italy,2021,112.5,115.6
Jamaica,2021,181,115.6
Japan,2021,105.2,112.7
Jordan,2021,102.5,102.7
Kenya,2021,212.5,
Korea,2021,118.6,139.5
Kuwait,2021,133.7,125
Kyrgyzstan,2021,185.2,177.4
Lao,2021,148.2,
Latvia,2021,121,128
Lebanon,2021,612.4,
Lesotho,2021,173.5,
Lithuania,2021,125.4,130.3
Luxembourg,2021,119,123.9
Madagascar,2021,137.3,141.6
Malaysia,2021,123.1,137.1
Maldives,2021,135.4,
Mali,2021,113.5,
Malta,2021,115.9,
Mauritania,2021,117.1,124
Mauritius,2021,138.7,149.5
Mexico,2021,154.7,180.1
Moldova,2021,181.4,208.2
Mongolia,2021,133.8,147.5
Montenegro,2021,119.2,125.7
Montserrat,2021,108.9,
Morocco,2021,103.9,102.2
Mozambique,2021,198.7,245.3
Namibia,2021,167.3,195.2
Nepal,2021,140.4,138.3
Netherlands,2021,120.5,118.7
New Caledonia,2021,110.3,117.5
New Zealand,2021,120.8,114.4
Nicaragua,2021,177,180.5
Nigeria,2021,354.3,401.6
North Macedonia,2021,118.5,119.2
Norway,2021,126.1,115
Oman,2021,114.2,
Pakistan,2021,219.1,153.8
Palau,2021,124.6,
Panama,2021,122.1,
Papua New Guinea,2021,170.8,
Paraguay,2021,153.4,163.6
Peru,2021,138.6,
Philippines,2021,128.8,136.4
Poland,2021,123.6,133.7
Portugal,2021,112,113.5
Qatar,2021,98.8,102.9
Romania,2021,133.5,117.3
Russian Federation,2021,199.4,215.7
Rwanda,2021,152.6,177.3
Saint Kitts and Nevis,2021,104.2,100.5
Saint Lucia,2021,111.4,102.5
Saint Vincent & Grenadines,2021,111.7,
Samoa,2021,119.3,
San Marino,2021,115.1,147.6
Saudi Arabia,2021,104.4,117.3
Senegal,2021,114.6,
Serbia,2021,152.3,153.5
Seychelles,2021,144.4,139.4
Sierra Leone,2021,297.2,315.7
Singapore,2021,116.8,124.4
Slovakia,2021,121.3,129
Slovenia,2021,113.1,125.9
Solomon Islands,2021,136.8,
South Africa,2021,171.3,192.7
South Sudan,2021,22570.7,
Spain,2021,114,118.9
Sri Lanka,2021,147.2,159.2
State of Palestine,2021,113.1,106.2
Sudan,2021,18895.1,
Suriname,2021,632.8,703.1
Sweden,2021,113.5,120.2
Switzerland,2021,99.4,97.7
Tajikistan,2021,211.5,237.1
Thailand,2021,113.7,129.7
Tunisia,2021,177.3,138.4
Turkiye,2021,314.8,374.1
Uganda,2021,113,107.4
Ukraine,2021,316.6,280
United Kingdom,2021,124.7,114.4
United States,2021,124.3,119.9
Uruguay,2021,240,256.3
Uzbekistan,2021,191.8,221.9
Vanuatu,2021,126.3,153.7
Venezuela,2021,800.7,2104.4
Vietnam,2021,171.9,
Zimbabwe,2021,5411,
